name,short_description,type,power,accuracy
Poison Sting,Might leave the target poisoned,Poison,15,100
Poison Sting,Can inflict poison on the opponent,Poison,15,100
Twineedle,Hits twice and might poison the target,Bug,25,100
Twineedle,Strikes two times in one turn and has a chance to poison,Bug,25,100
Twineedle,Attacks twice and can leave the opponent poisoned,Bug,25,100
Growl,Cuts the opponent's Attack by one stage,Normal,,100
Growl,Lowers the target's physical attack power by one level,Normal,,100
Growl,Reduces the enemy's Attack stat by one stage,Normal,,100
Sing,Puts the opponent to sleep,Normal,,55
Sing,Sends the target to sleep if it lands,Normal,,55
Sing,Makes the opponent fall asleep,Normal,,55
Supersonic,Leaves the target confused,Normal,,55
Supersonic,Makes the opponent confused if it hits,Normal,,55
Supersonic,Causes confusion in the target,Normal,,55
Sonic Boom,Always deals exactly 20 damage,Normal,,90
Sonic Boom,Does a fixed 20 points of damage no matter what,Normal,,90
Sonic Boom,Hits for a flat 20 damage regardless of stats,Normal,,90
Disable,Stops the target from using their last move for several turns,Normal,,100
Disable,Locks the opponent out of their most recently used move for 1 to 8 turns,Normal,,100
Disable,Prevents the target from using the move they just used for a while,Normal,,100
Acid,Might lower the target's Special Defense by one stage,Poison,40,100
Acid,Has a chance to drop the opponent's Special Defense,Poison,40,100
Acid,Can reduce the target's Special Defense by one level,Poison,40,100
Mist,Prevents the user's stats from being lowered by the opponent,Ice,,
Mist,Shields the user's stats from being reduced by enemy moves,Ice,,
Mist,Stops the opponent from lowering any of the user's stats,Ice,,
Surf,Does normal damage and can also hit pokemon using Dive,Water,90,100
Surf,A reliable water attack that hits Dive users too,Water,90,100
Surf,Deals damage and reaches targets that are hiding underwater,Water,90,100
Psybeam,Might leave the target confused,Psychic,65,100
Psybeam,Has a chance to confuse whoever it hits,Psychic,65,100
Psybeam,Can cause confusion in the opponent,Psychic,65,100
Bubble Beam,Might slow the target down by one stage,Water,65,100
Bubble Beam,Has a chance to lower the opponent's Speed,Water,65,100
Bubble Beam,Can reduce the target's Speed by one level,Water,65,100
Aurora Beam,Might lower the target's Attack by one stage,Ice,65,100
Aurora Beam,Has a chance to drop the opponent's Attack stat,Ice,65,100
Aurora Beam,Can reduce the target's physical attack power by one level,Ice,65,100
Hyper Beam,Deals massive damage but the user has to skip their next turn to recharge,Normal,150,90
Hyper Beam,The user can't move the turn after using this because they need to recharge,Normal,150,90
Hyper Beam,Hits incredibly hard but forces the user to rest and recharge next turn,Normal,150,90
Low Kick,Does more damage the heavier the target is up to 120 power,Fighting,,100
Low Kick,A move whose power scales with the target's weight maxing out at 120,Fighting,,100
Low Kick,Heavier opponents take more damage from this up to a maximum of 120 power,Fighting,,100
Counter,Hits back for double the damage the user took from the last physical attack,Fighting,,100
Counter,Returns twice the damage received from the most recent physical hit,Fighting,,100
Counter,Deals double the damage the user received from the last physical move used on them,Fighting,,100
Seismic Toss,Deals damage equal to the user's current level,Fighting,,100
Seismic Toss,Inflicts damage that matches however many levels the user has,Fighting,,100
Seismic Toss,The damage this does equals the user's level,Fighting,,100
Absorb,Steals half the damage dealt to heal the user,Grass,20,100
Absorb,Drains the target's HP and uses it to heal the user for half the damage done,Grass,20,100
Absorb,Deals damage and restores the user's HP by half of what was inflicted,Grass,20,100
Leech Seed,Plants a seed on the target that drains their HP every turn,Grass,,90
Leech Seed,Implants a seed that steals HP from the target each turn,Grass,,90
Leech Seed,Seeds the opponent and siphons their health away every turn,Grass,,90
Growth,Boosts the user's Attack and Special Attack by one stage each,Normal,,
Growth,Raises both the user's Attack and Special Attack by one level,Normal,,
Growth,Increases the user's physical and special attack stats by one stage,Normal,,
Poison Powder,Poisons the opponent,Poison,,75
Poison Powder,Inflicts poison on the target,Poison,,75
Poison Powder,Leaves the target poisoned if it lands,Poison,,75
Stun Spore,Paralyzes the target,Grass,,75
Stun Spore,Inflicts paralysis on the opponent,Grass,,75
Stun Spore,Leaves the target paralyzed if it connects,Grass,,75
String Shot,Drops the target's Speed by two stages,Bug,,95
String Shot,Lowers the opponent's Speed stat by two levels,Bug,,95
String Shot,Reduces the target's Speed by two stages,Bug,,95
Dragon Rage,Always deals exactly 40 damage,Dragon,,100
Dragon Rage,Does a fixed 40 points of damage every time,Dragon,,100
Dragon Rage,Hits for a flat 40 damage no matter what,Dragon,,100
Earthquake,Does normal damage and can also strike pokemon using Dig,Ground,100,100
Earthquake,A strong ground move that hits Dig users too,Ground,100,100
Earthquake,Deals damage and reaches targets that are burrowed underground,Ground,100,100
Dig,The user burrows underground avoiding attacks then strikes on the next turn,Ground,80,100
Dig,Goes underground to dodge everything and attacks the following turn,Ground,80,100
Dig,User hides underground for a turn then comes up to hit the opponent,Ground,80,100
Toxic,Poisons the target in a way that gets worse every turn,Poison,,90
Toxic,Inflicts a bad poison that deals more damage as the battle goes on,Poison,,90
Toxic,Badly poisons the opponent with damage that increases each turn,Poison,,90
Meditate,Boosts the user's Attack by one stage,Psychic,,
Meditate,Raises the user's physical attack power by one level,Psychic,,
Meditate,Increases the user's Attack stat by one stage,Psychic,,
Agility,Raises the user's Speed by two stages,Psychic,,
Agility,Sharply boosts the user's Speed stat,Psychic,,
Agility,Doubles the user's Speed by raising it two stages,Psychic,,
Rage,If the user gets hit after using this their Attack goes up by one stage,Normal,20,100
Rage,Getting hit while using this move raises the user's Attack,Normal,20,100
Rage,The user's Attack rises by one level each time they take a hit after using this,Normal,20,100
Teleport,Instantly escapes from wild pokemon encounters,Psychic,,
Teleport,Ends wild battles immediately and does nothing in trainer fights,Psychic,,
Teleport,Used to flee wild battles on the spot with no effect in trainer battles,Psychic,,
Mimic,Copies whatever move the target used last,Normal,,
Mimic,Learns and uses the opponent's most recently used move,Normal,,
Mimic,Takes on the last move the target used,Normal,,
Screech,Lowers the target's Defense by two stages,Normal,,85
Screech,Sharply drops the opponent's Defense stat,Normal,,85
Screech,Reduces the target's Defense by two levels,Normal,,85
Double Team,Raises the user's evasiveness by one stage,Normal,,
Double Team,Makes the user harder to hit by boosting evasion,Normal,,
Double Team,Increases the user's chance of avoiding attacks by one stage,Normal,,
Recover,Restores half of the user's maximum HP,Normal,,
Recover,Heals the user for 50 percent of their max health,Normal,,
Recover,The user recovers half their total HP,Normal,,
Harden,Raises the user's Defense by one stage,Normal,,
Harden,Boosts the user's physical defense by one level,Normal,,
Harden,Increases the user's Defense stat by one stage,Normal,,
Minimize,Raises the user's evasion by two stages,Normal,,
Minimize,Sharply increases how hard the user is to hit,Normal,,
Minimize,Boosts the user's evasiveness by two levels,Normal,,
Defense Curl,Boosts the user's Defense by one stage,Normal,,
Defense Curl,Raises the user's physical defense by one level,Normal,,
Defense Curl,Increases the user's Defense stat by one stage,Normal,,
Barrier,Raises the user's Defense by two stages,Psychic,,
Barrier,Sharply boosts the user's Defense stat,Psychic,,
Barrier,Increases the user's Defense by two levels,Psychic,,
Light Screen,Cuts damage from special moves by half for five turns,Psychic,,
Light Screen,Reduces special attack damage taken by 50 percent for five turns,Psychic,,
Light Screen,Halves the damage from special attacks for five turns,Psychic,,
Haze,Resets every pokemon's stat changes accuracy and evasion,Ice,,
Haze,Clears all stat boosts and drops for every pokemon on the field,Ice,,
Haze,Wipes all stat modifications accuracy and evasion changes for all pokemon,Ice,,
Reflect,Cuts damage from physical attacks in half,Psychic,,
Reflect,Reduces physical attack damage taken by 50 percent,Psychic,,
Reflect,Halves the damage received from physical moves,Psychic,,
Focus Energy,Boosts the user's critical hit rate,Normal,,
Focus Energy,Makes the user more likely to land critical hits,Normal,,
Focus Energy,Increases the chance of scoring a crit,Normal,,
Bide,Waits two turns then hits back for double the damage taken,Normal,1,
Bide,Stores up damage for two turns then retaliates with twice that amount,Normal,1,
Bide,Takes hits for a couple turns then unleashes double the damage received,Normal,1,
Metronome,Picks a random move from every move in the game and uses it,Normal,,
Metronome,Uses a completely random move chosen from all existing moves,Normal,,
Metronome,Randomly selects any move in existence and executes it,Normal,,
Mirror Move,Copies and uses whatever move the opponent just used,Flying,,
Mirror Move,Reflects the target's last move back at them,Flying,,
Mirror Move,Uses the same move the target just performed,Flying,,
Self Destruct,The user faints when using this move,Normal,200,100
Self Destruct,Causes the user to knock itself out,Normal,200,100
Self Destruct,User sacrifices itself and faints immediately,Normal,200,100
Swift,Always hits no matter what,Normal,60,
Swift,This move never misses regardless of accuracy or evasion,Normal,60,
Swift,Guaranteed to hit every time,Normal,60,
Skull Bash,Charges up for one turn boosting Defense then attacks on the next,Normal,130,100
Skull Bash,Takes a turn to charge and raises Defense before striking,Normal,130,100
Skull Bash,Raises the user's Defense while charging then hits on the following turn,Normal,130,100
Amnesia,Raises the user's Special Defense by two stages,Psychic,,
Amnesia,Sharply boosts the user's special defense stat,Psychic,,
Amnesia,Increases the user's Special Defense by two levels,Psychic,,
Dream Eater,Only hits sleeping targets and drains half the damage to heal the user,Psychic,100,100
Dream Eater,Works exclusively on sleeping pokemon and restores half the damage dealt,Psychic,100,100
Dream Eater,Can only be used on a sleeping opponent and heals the user for half the damage,Psychic,100,100
Sky Attack,Charges for one turn then attacks with a chance to make the target flinch,Flying,140,90
Sky Attack,Takes a turn to power up then strikes and might cause the opponent to flinch,Flying,140,90
Sky Attack,Spends a turn charging then hits hard with a possibility of making the target flinch,Flying,140,90
Transform,The user transforms into a copy of the target for the rest of the battle,Normal,,
Transform,Becomes an exact replica of the opponent until switched out,Normal,,
Transform,Copies the target completely taking on their moves and stats,Normal,,
Psywave,Deals damage somewhere between half and one and a half times the user's level,Psychic,,100
Psywave,Inflicts a random amount of damage based on the user's level,Psychic,,100
Psywave,Does damage that varies between 50 and 150 percent of the user's level,Psychic,,100
Splash,Literally does nothing,Normal,,
Splash,Has absolutely no effect whatsoever,Normal,,
Splash,Does absolutely nothing at all,Normal,,
Rest,The user falls asleep for two turns but fully restores its HP,Psychic,,
Rest,Puts the user to sleep for two turns in exchange for complete healing,Psychic,,
Rest,User sleeps for a couple turns and wakes up with full health,Psychic,,
Conversion,The user's type randomly changes to match one of its own moves,Normal,,
Conversion,Shifts the user's type to one of its move types at random,Normal,,
Conversion,Randomly adopts the type of one of the user's known moves,Normal,,
Tri Attack,Has a chance to burn freeze or paralyze the target,Normal,80,100
Tri Attack,Might inflict burn freeze or paralysis on whoever it hits,Normal,80,100
Tri Attack,Can leave the target burned frozen or paralyzed,Normal,80,100
Super Fang,Cuts the target's current HP in half,Normal,,90
Super Fang,Deals damage equal to half of whatever HP the target has left,Normal,,90
Super Fang,Always takes away exactly half the opponent's remaining health,Normal,,90
Substitute,Uses a quarter of the user's HP to create a decoy that absorbs damage and status effects,Normal,,
Substitute,Sacrifices 25 percent of max HP to set up a dummy that takes hits until it breaks,Normal,,
Substitute,Spends a quarter of the user's health to make a doll that protects against damage and status,Normal,,
Struggle,The user takes a quarter of its max HP as recoil,Normal,50,
Struggle,Deals damage but the user loses 25 percent of their max HP in recoil,Normal,50,
Struggle,Hits the target but costs the user a quarter of their maximum health,Normal,50,
Sketch,Permanently copies the last move the target used,Normal,,
Sketch,Learns the opponent's most recently used move forever,Normal,,
Sketch,Replaces itself with whatever move the target just used permanently,Normal,,
Triple Kick,Hits three times and each successful hit doubles the power,Fighting,10,90
Triple Kick,Strikes three times in a row with power increasing by 100 percent each hit,Fighting,10,90
Triple Kick,Attacks three times and the damage doubles with every successful strike,Fighting,10,90
Thief,Steals the target's held item,Dark,60,100
Thief,Takes whatever item the opponent is holding,Dark,60,100
Thief,Swipes the target's item while dealing damage,Dark,60,100
Spider Web,Traps the target and stops them from switching out or fleeing,Bug,,
Spider Web,Prevents the opponent from leaving the battle,Bug,,
Spider Web,Locks the target in and stops them from escaping,Bug,,
Mind Reader,Guarantees the user's next move will not miss,Normal,,
Mind Reader,Makes the following move hit no matter what,Normal,,
Mind Reader,Ensures the next attack lands regardless of accuracy or evasion,Normal,,
Nightmare,Drains a quarter of the target's max HP every turn while they are asleep,Ghost,,100
Nightmare,Causes a sleeping opponent to lose 25 percent of their max HP each turn,Ghost,,100
Nightmare,Deals damage equal to a quarter of max HP every turn to a sleeping target,Ghost,,100
Flame Wheel,Has a chance to burn the target and can thaw out frozen pokemon,Fire,60,100
Flame Wheel,Might leave the opponent burned and also defrosts frozen users,Fire,60,100
Flame Wheel,Can inflict a burn and allows a frozen user to thaw themselves out,Fire,60,100
Snore,Can make the target flinch but only works while the user is asleep,Normal,50,100
Snore,Has a chance to cause flinching and can only be used when the user is sleeping,Normal,50,100
Snore,Might make the opponent flinch but is usable only during sleep,Normal,50,100
Curse,Ghost types sacrifice half their HP to curse the target dealing damage every turn,Ghost,,
Curse,For ghost pokemon costs half max HP to put a curse on the target that hurts them each turn,Ghost,,
Curse,Non ghost types drop Speed to gain Attack and Defense while ghosts curse the target at the cost of half their HP,Ghost,,
Flail,Gets stronger the lower the user's HP is up to a max of 200 power,Normal,,100
Flail,Deals more damage the closer the user is to fainting with a cap of 200 power,Normal,,100
Flail,Power increases as the user's health drops maxing out at 200,Normal,,100
Conversion 2,Changes the user's type to something that resists or is immune to the last move used on them,Normal,,
Conversion 2,Shifts the user's type to randomly resist or be immune to the opponent's last attack,Normal,,
Conversion 2,Adapts the user's type to counter whatever move was just used against them,Normal,,
Spite,Cuts the PP of the target's last used move by 4,Ghost,,100
Spite,Reduces the remaining uses of the opponent's most recent move by 4,Ghost,,100
Spite,Takes away 4 PP from whatever move the target just used,Ghost,,100
Protect,Blocks all moves from hitting the user for that turn,Normal,,
Protect,Makes the user completely invulnerable for one turn,Normal,,
Protect,Shields the user from any incoming moves this turn,Normal,,
Belly Drum,Sacrifices half the user's max HP to max out their Attack stat,Normal,,
Belly Drum,Costs 50 percent of max HP but raises Attack to the maximum,Normal,,
Belly Drum,User loses half their health to fully maximize their Attack,Normal,,
Mud Slap,Might lower the target's accuracy by one stage,Ground,20,100
Mud Slap,Has a chance to drop the opponent's accuracy,Ground,20,100
Mud Slap,Can reduce the target's chance to hit by one level,Ground,20,100
Spikes,Lays a trap on the opponent's side that damages any pokemon that switches in,Ground,,
Spikes,Sets up spikes that hurt the enemy team whenever they bring in a new pokemon,Ground,,
Spikes,Places spikes on the field that damage opposing pokemon when they enter,Ground,,
Foresight,Removes the target's evasion boost and lets normal and fighting moves hit ghost types,Normal,,
Foresight,Negates the opponent's evasiveness and makes ghost pokemon vulnerable to normal and fighting attacks,Normal,,
Foresight,Strips away evasion boosts and allows normal and fighting moves to hit ghost types,Normal,,
Destiny Bond,If the user faints this turn the pokemon that knocked them out faints too,Ghost,,
Destiny Bond,Links the user's fate to the opponent so if the user goes down the attacker does too,Ghost,,
Destiny Bond,The target will also faint if they knock out the user on the same turn,Ghost,,
Perish Song,Both the user and the target will faint after three turns,Normal,,
Perish Song,Counts down three turns and then both pokemon faint,Normal,,
Perish Song,Causes the user and opponent to both go down after three turns,Normal,,
Sandstorm,Summons a sandstorm that lasts for five turns,Rock,,
Sandstorm,Changes the weather to sandstorm for five turns,Rock,,
Sandstorm,Sets up a sandstorm on the field that persists for five turns,Rock,,
Endure,Ensures the user survives any hit this turn with at least 1 HP,Normal,,
Endure,Prevents the user from being knocked out this turn no matter what,Normal,,
Endure,Guarantees the user will not faint this turn leaving them with at least 1 HP,Normal,,
Charm,Lowers the target's Attack by two stages,Fairy,,100
Charm,Sharply drops the opponent's physical attack power,Fairy,,100
Charm,Reduces the target's Attack stat by two levels,Fairy,,100
Rollout,Power doubles each consecutive turn it is used resetting after five turns,Rock,30,90
Rollout,Gets stronger every turn it is used in a row up to five turns then resets,Rock,30,90
Rollout,Each successive use doubles the power until five turns pass and it resets,Rock,30,90
False Swipe,Leaves the target with at least 1 HP no matter what,Normal,40,100
False Swipe,Cannot knock out the target always leaving them with a minimum of 1 HP,Normal,40,100
False Swipe,Guaranteed to leave the opponent alive with at least 1 HP remaining,Normal,40,100
Swagger,Boosts the target's Attack by two stages but also confuses them,Normal,,85
Swagger,Raises the opponent's Attack sharply while also making them confused,Normal,,85
Swagger,Increases the target's Attack by two levels but leaves them confused,Normal,,85
Fury Cutter,Power doubles each consecutive use maxing out after five turns,Bug,40,95
Fury Cutter,Gets stronger every turn it is used in a row up to five turns,Bug,40,95
Fury Cutter,Each successive use doubles the power up to a maximum after five turns,Bug,40,95
Steel Wing,Has a chance to raise the user's Defense by one stage,Steel,70,90
Steel Wing,Might boost the user's Defense stat by one level,Steel,70,90
Steel Wing,Can increase the user's Defense by one stage,Steel,70,90
Attract,Makes the target fall in love if they are the opposite gender giving them a 50 percent chance to not attack,Normal,,100
Attract,Infatuates an opposite gender target making them hesitate to attack half the time,Normal,,100
Attract,Causes the opponent to fall in love if they are a different gender making them fail to move 50 percent of the time,Normal,,100
Sleep Talk,Randomly uses one of the user's other moves and only works while asleep,Normal,,
Sleep Talk,Picks and uses a random move from the user's moveset but only during sleep,Normal,,
Sleep Talk,Uses a random move from the user's other three moves only when the user is sleeping,Normal,,
Heal Bell,Cures every pokemon on the user's team of status conditions,Normal,,
Heal Bell,Removes all major status effects from the entire party,Normal,,
Heal Bell,Heals the whole team of any status ailments,Normal,,
Return,Deals more damage the higher the user's happiness is up to 102 power,Normal,,100
Return,Power scales with the user's happiness maxing out at 102,Normal,,100
Return,Gets stronger as the user's friendship increases with a maximum power of 102,Normal,,100
Present,Randomly either deals 40 to 120 damage or heals the target for a quarter of their max HP,Normal,,90
Present,Has a chance to heal the opponent for 25 percent of their HP or deal varying damage,Normal,,90
Present,Unpredictably either hurts the target for a random amount or restores a quarter of their health,Normal,,90
Frustration,Deals more damage the lower the user's happiness is up to 102 power,Normal,,100
Frustration,Power increases as the user's friendship drops maxing out at 102,Normal,,100
Frustration,Gets stronger as the user's happiness decreases with a maximum power of 102,Normal,,100
Safeguard,Protects the whole team from status conditions and confusion for five turns,Normal,,
Safeguard,Shields the user's side from status ailments and confusion for five turns,Normal,,
Safeguard,Prevents the user's field from being affected by status moves or confusion for five turns,Normal,,
Pain Split,Averages out the current HP of the user and the target,Normal,,
Pain Split,Splits the combined HP of the user and opponent equally between them,Normal,,
Pain Split,Sets both the user's and target's HP to the average of their current health,Normal,,
Magnitude,Deals a random amount of damage ranging from 10 to 150 power,Ground,,100
Magnitude,Power varies randomly anywhere between 10 and 150,Ground,,100
Magnitude,Hits with unpredictable power that can be anywhere from 10 to 150,Ground,,100
Baton Pass,Lets the user switch out while passing all their stat changes to the incoming pokemon,Normal,,
Baton Pass,Switches the user out and transfers any active effects to the replacement,Normal,,
Baton Pass,Tags out and hands off all stat boosts and effects to the next pokemon,Normal,,
Encore,Forces the target to keep using their last move for 2 to 6 turns,Normal,,100
Encore,Locks the opponent into repeating their most recent move for several turns,Normal,,100
Encore,Makes the target use the same move over and over for 2 to 6 turns,Normal,,100
Pursuit,Deals double damage to pokemon that are in the middle of switching out,Dark,40,100
Pursuit,Has twice the power against opponents trying to switch out and can hit them mid switch,Dark,40,100
Pursuit,Doubles in power when used against a pokemon that is switching out,Dark,40,100
Rapid Spin,Removes binding effects leech seed and spikes from the user's side,Normal,50,100
Rapid Spin,Frees the user from trapping moves and clears leech seed and spikes,Normal,50,100
Rapid Spin,Gets rid of binding moves leech seed and entry hazard spikes,Normal,50,100
Sweet Scent,Lowers the target's evasiveness by one stage,Normal,,100
Sweet Scent,Drops the opponent's evasion by one level,Normal,,100
Sweet Scent,Reduces how hard the target is to hit by one stage,Normal,,100
Iron Tail,Has a chance to lower the target's Defense by one stage,Steel,100,75
Iron Tail,Might reduce the opponent's Defense stat by one level,Steel,100,75
Iron Tail,Can drop the target's Defense by one stage,Steel,100,75
Metal Claw,Has a chance to raise the user's Attack by one stage,Steel,50,95
Metal Claw,Might boost the user's Attack stat by one level,Steel,50,95
Metal Claw,Can increase the user's Attack by one stage,Steel,50,95
Morning Sun,Restores half the user's max HP with the amount varying depending on weather,Normal,,
Morning Sun,Heals 50 percent of the user's health but the amount changes based on weather conditions,Normal,,
Morning Sun,Recovers half max HP though weather can affect how much is restored,Normal,,
Hidden Power,Type and power depend on the user's IVs with power ranging from 30 to 70,Normal,60,100
Hidden Power,A move whose type and strength are determined by the user's individual values,Normal,60,100
Hidden Power,Changes type and power based on the user's IVs ranging from 30 to 70 power,Normal,60,100
Rain Dance,Sets the weather to rain for five turns,Water,,
Rain Dance,Summons rain that lasts for five turns,Water,,
Rain Dance,Changes the battlefield weather to rainy for five turns,Water,,
Sunny Day,Sets the weather to harsh sunlight for five turns,Fire,,
Sunny Day,Summons intense sunshine that lasts for five turns,Fire,,
Sunny Day,Changes the battlefield weather to sunny for five turns,Fire,,
Mirror Coat,Reflects back twice the damage received from the last special move,Psychic,,100
Mirror Coat,Returns double the damage taken from the most recent special attack,Psychic,,100
Mirror Coat,Hits back for twice the damage the user took from the last special hit,Psychic,,100
Psych Up,Copies all of the target's current stat changes and discards the user's own,Normal,,
Psych Up,Replaces the user's stat boosts with whatever the opponent currently has,Normal,,
Psych Up,Drops the user's own stat changes and copies the target's instead,Normal,,
Ancient Power,Has a chance to raise all of the user's stats by one stage at once,Rock,60,100
Ancient Power,Might boost every one of the user's stats by one level,Rock,60,100
Ancient Power,Can increase all of the user's stats by one stage simultaneously,Rock,60,100
Future Sight,Stores up power and strikes the target two turns later,Psychic,120,100
Future Sight,Attacks the opponent two turns after it is used,Psychic,120,100
Future Sight,Deals damage to the target two turns in the future,Psychic,120,100
Whirlpool,Traps the target and deals a small amount of damage every turn for 2 to 5 turns,Water,35,85
Whirlpool,Locks the opponent in and chips away at their HP for several turns,Water,35,85
Whirlpool,Prevents the target from escaping and inflicts damage each turn for 2 to 5 turns,Water,35,85
Beat Up,Hits multiple times once for each healthy pokemon in the user's party,Dark,,100
Beat Up,Each conscious pokemon on the user's team contributes one hit,Dark,,100
Beat Up,Attacks once per healthy party member,Dark,,100
Fake Out,Must be used on the first turn after entering battle and always makes the target flinch,Normal,40,100
Fake Out,Can only be used immediately after switching in and causes the opponent to flinch,Normal,40,100
Fake Out,Only works on the very first turn the user is out and guaranteed to make the target flinch,Normal,40,100
Uproar,Forces the user to keep using this move for several turns and prevents any pokemon from falling asleep,Normal,90,100
Uproar,Locks the user into this move for multiple turns while stopping anyone from sleeping,Normal,90,100
Uproar,User is forced to use this repeatedly for a few turns and no pokemon can fall asleep during that time,Normal,90,100
Stockpile,Charges up energy that can be used with Spit Up or Swallow up to three times,Normal,,
Stockpile,Stores power for later use with Spit Up or Swallow can be used up to three times,Normal,,
Stockpile,Builds up energy up to three times to be released with Spit Up or Swallow,Normal,,
Spit Up,Releases stored Stockpile energy for 100 power per stack,Normal,,100
Spit Up,Deals damage based on how many times Stockpile was used at 100 power each,Normal,,100
Spit Up,Unleashes all stored Stockpile energy with power multiplied by the number of stacks,Normal,,100
Swallow,Heals the user based on how many times Stockpile was used up to full HP at three stacks,Normal,,
Swallow,Recovers 25 percent HP for one stack 50 percent for two and full health for three Stockpiles,Normal,,
Swallow,Restores HP depending on how many Stockpiles are stored ranging from a quarter to full health,Normal,,
Hail,Summons a hailstorm that lasts for five turns,Ice,,
Hail,Changes the weather to hail for five turns,Ice,,
Hail,Sets up a hailstorm on the field that persists for five turns,Ice,,
Torment,Stops the target from using the same move two turns in a row,Dark,,100
Torment,Prevents the opponent from repeating the same move consecutively,Dark,,100
Torment,Forces the target to use a different move each turn,Dark,,100
Flatter,Raises the target's Special Attack by one stage but also confuses them,Dark,,100
Flatter,Boosts the opponent's Special Attack by one level while making them confused,Dark,,100
Flatter,Increases the target's Special Attack but leaves them confused,Dark,,100
